//JobNo,Skill-ID,MaxLv{,BaseLvReq,JobLvReq},Prerequisite Skill-ID-1,Prerequisite Skill-ID-1-Lv,PrereqSkill-ID-2,PrereqSkill-ID-2-Lv,PrereqSkill-ID-3,PrereqSkill-ID-3-Lv,PrereqSkill-ID-4,PrereqSkill-ID-4-Lv,PrereqSkill-ID-5,PrereqSkill-ID-5-Lv//CLASS_SKILLNAME#Skill Name#

// Sky Emperor
4302,1,9,0,0,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#Basic Skill#
4302,142,1,0,0,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#First Aid#
4302,411,10,0,0,0,0,0,0,0,0,0,0,0,0 //TK_RUN#Running#
4302,412,1,413,1,0,0,0,0,0,0,0,0,0,0 //TK_READYSTORM#Prepare Whirlwind#
4302,413,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_STORMKICK#Whirlwind Kick#
4302,414,1,415,1,0,0,0,0,0,0,0,0,0,0 //TK_READYDOWN#Prepare Axe Kick#
4302,415,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_DOWNKICK#Axe Kick#
4302,416,1,417,1,0,0,0,0,0,0,0,0,0,0 //TK_READYTURN#Prepare Round Kick#
4302,417,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_TURNKICK#Round Kick#
4302,418,1,419,1,0,0,0,0,0,0,0,0,0,0 //TK_READYCOUNTER#Prepare Counter Kick#
4302,419,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_COUNTER#Counter Kick#
4302,420,1,421,7,0,0,0,0,0,0,0,0,0,0 //TK_DODGE#Break Fall#
4302,421,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_JUMPKICK#Flying Side Kick#
4302,422,10,0,0,0,0,0,0,0,0,0,0,0,0 //TK_HPTIME#Peaceful Rest#
4302,423,10,0,0,0,0,0,0,0,0,0,0,0,0 //TK_SPTIME#Enjoyable Rest#
4302,424,5,0,0,0,0,0,0,0,0,0,0,0,0 //TK_POWER#Fighting Chant#
4302,425,7,422,5,423,5,424,5,0,0,0,0,0,0 //TK_SEVENWIND#Warm Wind#
4302,426,5,0,0,0,0,0,0,0,0,0,0,0,0 //TK_HIGHJUMP#High Jump#
4302,493,1,424,5,0,0,0,0,0,0,0,0,0,0 //TK_MISSION#Taekwon Mission#
4302,427,3,0,0,0,0,0,0,0,0,0,0,0,0 //SG_FEEL#Feeling the Sun, Moon and Stars#
4302,428,3,427,1,0,0,0,0,0,0,0,0,0,0 //SG_SUN_WARM#Warmth of the Sun#
4302,429,3,427,2,0,0,0,0,0,0,0,0,0,0 //SG_MOON_WARM#Warmth of the Moon#
4302,430,3,427,3,0,0,0,0,0,0,0,0,0,0 //SG_STAR_WARM#Warmth of the Star#
4302,431,4,427,1,0,0,0,0,0,0,0,0,0,0 //SG_SUN_COMFORT#Comfort of the Sun#
4302,432,4,427,2,0,0,0,0,0,0,0,0,0,0 //SG_MOON_COMFORT#Comfort of the Moon#
4302,433,4,427,3,0,0,0,0,0,0,0,0,0,0 //SG_STAR_COMFORT#Comfort of the Star#
4302,434,3,0,0,0,0,0,0,0,0,0,0,0,0 //SG_HATE#Hatred of the Sun, Moon and Stars#
4302,435,3,434,1,0,0,0,0,0,0,0,0,0,0 //SG_SUN_ANGER#Sun's Wrath#
4302,436,3,434,2,0,0,0,0,0,0,0,0,0,0 //SG_MOON_ANGER#Moon's Wrath#
4302,437,3,434,3,0,0,0,0,0,0,0,0,0,0 //SG_STAR_ANGER#Stars's Wrath#
4302,438,5,427,1,434,1,0,0,0,0,0,0,0,0 //SG_SUN_BLESS#Blessing of the Sun#
4302,439,5,427,2,434,2,0,0,0,0,0,0,0,0 //SG_MOON_BLESS#Blessing of the Moon#
4302,440,5,427,3,434,3,0,0,0,0,0,0,0,0 //SG_STAR_BLESS#Blessing of the Star#
4302,441,10,0,0,0,0,0,0,0,0,0,0,0,0 //SG_DEVIL#Demon of the Sun, Moon and Stars#
4302,442,3,0,0,0,0,0,0,0,0,0,0,0,0 //SG_FRIEND#Friend of the Sun, Moon and Stars#
4302,443,10,0,0,0,0,0,0,0,0,0,0,0,0 //SG_KNOWLEDGE#Knowledge of the Sun, Moon and Stars#
4302,444,1,443,9,0,0,0,0,0,0,0,0,0,0 //SG_FUSION#Union of the Sun, Moon and Stars#
4302,2574,5,2576,3,0,0,0,0,0,0,0,0,0,0 //SJ_LIGHTOFMOON##
4302,2575,3,2588,1,0,0,0,0,0,0,0,0,0,0 //SJ_LUNARSTANCE##
4302,2576,10,2579,7,0,0,0,0,0,0,0,0,0,0 //SJ_FULLMOONKICK##
4302,2577,5,2584,3,0,0,0,0,0,0,0,0,0,0 //SJ_LIGHTOFSTAR##
4302,2578,3,2588,1,0,0,0,0,0,0,0,0,0,0 //SJ_STARSTANCE##
4302,2579,7,2575,1,0,0,0,0,0,0,0,0,0,0 //SJ_NEWMOONKICK##
4302,2580,7,2578,1,0,0,0,0,0,0,0,0,0,0 //SJ_FLASHKICK##
4302,2581,5,2582,5,2583,3,0,0,0,0,0,0,0,0 //SJ_STAREMPEROR##
4302,2582,5,2583,1,0,0,0,0,0,0,0,0,0,0 //SJ_NOVAEXPLOSING##
4302,2583,3,2575,3,2578,3,2591,3,0,0,0,0,0,0 //SJ_UNIVERSESTANCE##
4302,2584,10,2580,7,0,0,0,0,0,0,0,0,0,0 //SJ_FALLINGSTAR##
4302,2585,1,2583,1,0,0,0,0,0,0,0,0,0,0 //SJ_GRAVITYCONTROL##
4302,2586,5,2581,3,2588,3,0,0,0,0,0,0,0,0 //SJ_BOOKOFDIMENSION##
4302,2587,5,2581,3,2588,3,0,0,0,0,0,0,0,0 //SJ_BOOKOFCREATINGSTAR##
4302,2588,3,427,3,434,3,0,0,0,0,0,0,0,0 //SJ_DOCUMENT##
4302,2589,1,441,10,0,0,0,0,0,0,0,0,0,0 //SJ_PURIFY##
4302,2590,5,2592,3,0,0,0,0,0,0,0,0,0,0 //SJ_LIGHTOFSUN##
4302,2591,3,2588,1,0,0,0,0,0,0,0,0,0,0 //SJ_SUNSTANCE##
4302,2592,10,2593,7,0,0,0,0,0,0,0,0,0,0 //SJ_SOLARBURST##
4302,2593,7,2591,1,0,0,0,0,0,0,0,0,0,0 //SJ_PROMINENCEKICK##
4302,410,1,0,0,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#Call Baby#
4302,5463,10,0,0,0,0,0,0,0,0,0,0,0,0 //SKE_SKY_MASTERY##
4302,5464,10,0,0,0,0,0,0,0,0,0,0,0,0 //SKE_WAR_BOOK_MASTERY##
4302,5465,5,5463,1,0,0,0,0,0,0,0,0,0,0 //SKE_RISING_SUN##
4302,5466,5,5463,3,5465,1,0,0,0,0,0,0,0,0 //SKE_NOON_BLAST##
4302,5467,5,5463,5,5466,1,0,0,0,0,0,0,0,0 //SKE_SUNSET_BLAST##
4302,5468,5,5463,1,0,0,0,0,0,0,0,0,0,0 //SKE_RISING_MOON##
4302,5469,5,5463,3,5468,1,0,0,0,0,0,0,0,0 //SKE_MIDNIGHT_KICK##
4302,5470,5,5463,5,5469,1,0,0,0,0,0,0,0,0 //SKE_DAWN_BREAK##
4302,5471,5,5463,1,0,0,0,0,0,0,0,0,0,0 //SKE_TWINKLING_GALAXY##
4302,5472,5,5463,3,5471,1,0,0,0,0,0,0,0,0 //SKE_STAR_BURST##
4302,5473,5,5463,5,5472,1,0,0,0,0,0,0,0,0 //SKE_STAR_CANNON##
4302,5474,10,5464,5,5465,1,5468,1,0,0,0,0,0,0 //SKE_ALL_IN_THE_SKY##
4302,5475,10,5463,5,0,0,0,0,0,0,0,0,0,0 //SKE_ENCHANTING_SKY##

// Soul Ascetic
4303,1,9,0,0,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#Basic Skill#
4303,142,1,0,0,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#First Aid#
4303,411,10,0,0,0,0,0,0,0,0,0,0,0,0 //TK_RUN#Running#
4303,412,1,413,1,0,0,0,0,0,0,0,0,0,0 //TK_READYSTORM#Prepare Whirlwind#
4303,413,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_STORMKICK#Whirlwind Kick#
4303,414,1,415,1,0,0,0,0,0,0,0,0,0,0 //TK_READYDOWN#Prepare Axe Kick#
4303,415,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_DOWNKICK#Axe Kick#
4303,416,1,417,1,0,0,0,0,0,0,0,0,0,0 //TK_READYTURN#Prepare Round Kick#
4303,417,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_TURNKICK#Round Kick#
4303,418,1,419,1,0,0,0,0,0,0,0,0,0,0 //TK_READYCOUNTER#Prepare Counter Kick#
4303,419,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_COUNTER#Counter Kick#
4303,420,1,421,7,0,0,0,0,0,0,0,0,0,0 //TK_DODGE#Break Fall#
4303,421,7,0,0,0,0,0,0,0,0,0,0,0,0 //TK_JUMPKICK#Flying Side Kick#
4303,422,10,0,0,0,0,0,0,0,0,0,0,0,0 //TK_HPTIME#Peaceful Rest#
4303,423,10,0,0,0,0,0,0,0,0,0,0,0,0 //TK_SPTIME#Enjoyable Rest#
4303,424,5,0,0,0,0,0,0,0,0,0,0,0,0 //TK_POWER#Fighting Chant#
4303,425,7,422,5,423,5,424,5,0,0,0,0,0,0 //TK_SEVENWIND#Warm Wind#
4303,426,5,0,0,0,0,0,0,0,0,0,0,0,0 //TK_HIGHJUMP#High Jump#
4303,493,1,424,5,0,0,0,0,0,0,0,0,0,0 //TK_MISSION#Taekwon Mission#
4303,445,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_ALCHEMIST#Spirit of the Alchemist#
4303,447,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_MONK#Spirit of the Monk#
4303,448,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_STAR#Spirit of the Star Knight#
4303,449,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_SAGE#Spirit of the Professor#
4303,450,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_CRUSADER#Spirit of the Crusader#
4303,451,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_SUPERNOVICE#Spirit of the Supernovice#
4303,452,5,450,1,0,0,0,0,0,0,0,0,0,0 //SL_KNIGHT#Spirit of the Knight#
4303,453,5,449,1,0,0,0,0,0,0,0,0,0,0 //SL_WIZARD#Spirit of the Wizard#
4303,454,5,447,1,0,0,0,0,0,0,0,0,0,0 //SL_PRIEST#Spirit of the Priest#
4303,455,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_BARDDANCER#Spirit of the Artist#
4303,456,5,457,1,0,0,0,0,0,0,0,0,0,0 //SL_ROGUE#Spirit of the Rogue#
4303,457,5,0,0,0,0,0,0,0,0,0,0,0,0 //SL_ASSASIN#Spirit of the Assasin#
4303,458,5,445,1,0,0,0,0,0,0,0,0,0,0 //SL_BLACKSMITH#Spirit of the Blacksmith#
4303,460,5,455,1,0,0,0,0,0,0,0,0,0,0 //SL_HUNTER#Spirit of the Hunter#
4303,461,5,448,1,0,0,0,0,0,0,0,0,0,0 //SL_SOULLINKER#Spirit of the Soul Linker#
4303,462,7,454,1,0,0,0,0,0,0,0,0,0,0 //SL_KAIZEL#Kaizel#
4303,463,7,454,1,450,1,0,0,0,0,0,0,0,0 //SL_KAAHI#Kahai#
4303,464,3,456,1,0,0,0,0,0,0,0,0,0,0 //SL_KAUPE#Kauf#
4303,465,7,453,1,0,0,0,0,0,0,0,0,0,0 //SL_KAITE#Kaite#
4303,466,7,423,1,0,0,0,0,0,0,0,0,0,0 //SL_KAINA#Kaina#
4303,467,7,453,1,0,0,0,0,0,0,0,0,0,0 //SL_STIN#Estin#
4303,468,7,453,1,0,0,0,0,0,0,0,0,0,0 //SL_STUN#Estern#
4303,469,10,467,7,468,7,0,0,0,0,0,0,0,0 //SL_SMA#Esma#
4303,470,7,454,1,0,0,0,0,0,0,0,0,0,0 //SL_SWOO#Esu#
4303,471,3,452,1,0,0,0,0,0,0,0,0,0,0 //SL_SKE#Esk#
4303,472,3,447,1,0,0,0,0,0,0,0,0,0,0 //SL_SKA#Eska#
4303,494,5,451,1,0,0,0,0,0,0,0,0,0,0 //SL_HIGH#Spirit of Rebirth#
4303,2596,5,2608,2,0,0,0,0,0,0,0,0,0,0 //SP_SOULGOLEM##
4303,2597,5,2605,5,0,0,0,0,0,0,0,0,0,0 //SP_SOULSHADOW##
4303,2598,5,2608,2,0,0,0,0,0,0,0,0,0,0 //SP_SOULFALCON##
4303,2599,5,2605,5,0,0,0,0,0,0,0,0,0,0 //SP_SOULFAIRY##
4303,2600,10,2601,3,0,0,0,0,0,0,0,0,0,0 //SP_CURSEEXPLOSION##
4303,2601,5,2607,3,0,0,0,0,0,0,0,0,0,0 //SP_SOULCURSE##
4303,2602,10,2603,1,0,0,0,0,0,0,0,0,0,0 //SP_SPA##
4303,2603,5,2607,3,0,0,0,0,0,0,0,0,0,0 //SP_SHA##
4303,2604,10,2602,3,0,0,0,0,0,0,0,0,0,0 //SP_SWHOO##
4303,2605,7,2611,3,0,0,0,0,0,0,0,0,0,0 //SP_SOULUNITY##
4303,2606,5,2602,10,2603,5,0,0,0,0,0,0,0,0 //SP_SOULDIVISION##
4303,2607,5,2609,1,0,0,0,0,0,0,0,0,0,0 //SP_SOULREAPER##
4303,2608,3,2611,3,2612,3,0,0,0,0,0,0,0,0 //SP_SOULREVOLVE##
4303,2609,5,0,0,0,0,0,0,0,0,0,0,0,0 //SP_SOULCOLLECT##
4303,2610,5,2596,1,2597,1,2598,1,2599,1,2600,2,0,0 //SP_SOULEXPLOSION##
4303,2611,5,2609,1,0,0,0,0,0,0,0,0,0,0 //SP_SOULENERGY##
4303,2612,5,2611,1,0,0,0,0,0,0,0,0,0,0 //SP_KAUTE##
4303,410,1,0,0,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#Call Baby#
4303,5416,10,0,0,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_MASTERY##
4303,5417,10,0,0,0,0,0,0,0,0,0,0,0,0 //SOA_SOUL_MASTERY##
4303,5418,5,5416,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_PROTECTION##
4303,5419,5,5416,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_WARRIOR##
4303,5420,5,5416,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_MAGICIAN##
4303,5421,5,2611,5,5417,3,0,0,0,0,0,0,0,0 //SOA_SOUL_GATHERING##
4303,5422,5,5416,3,5417,3,0,0,0,0,0,0,0,0 //SOA_TOTEM_OF_TUTELARY##
4303,5423,5,5416,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_FIVE_ELEMENTS##
4303,5424,5,5416,1,5417,1,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_SOUL_STEALING##
4303,5425,5,2601,5,5421,1,0,0,0,0,0,0,0,0 //SOA_EXORCISM_OF_MALICIOUS_SOUL##
4303,5426,5,5424,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_BLUE_DRAGON##
4303,5427,5,5426,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_WHITE_TIGER##
4303,5428,5,5427,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_RED_PHOENIX##
4303,5429,5,5428,1,0,0,0,0,0,0,0,0,0,0 //SOA_TALISMAN_OF_BLACK_TORTOISE##
